ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785521895.723,6.7,100.0,89.33,4.0,18.0,0,0,43831,120.17,0,0,43831,118.16,0,0,3,35.37,0,0,3,33.69
1785521896.723,4.2,100.0,89.31,3.0,44.0,0,0,43831,119.96,0,0,43831,118.05,0,0,3,35.42,0,0,3,33.68
1785521897.723,4.5,100.0,89.31,2.0,28.0,0,0,43831,120.32,0,0,43831,117.72,0,0,3,35.47,0,0,3,33.73
1785521898.723,4.6,100.0,89.31,4.0,27.0,0,0,43831,120.27,0,0,43831,117.57,0,0,3,35.42,0,0,3,33.68
1785521899.723,4.5,100.0,89.31,4.0,53.0,0,0,43831,120.10,0,0,43831,117.42,0,0,3,35.37,0,0,3,33.59
1785521900.723,4.7,100.0,89.33,3.0,50.0,0,0,43831,119.95,0,0,43831,117.52,0,0,3,35.31,0,0,3,33.63
1785521901.723,4.4,100.0,89.32,4.0,53.0,0,0,43831,119.37,0,0,43831,117.34,0,0,3,35.31,0,0,3,33.68
1785521902.724,5.2,100.0,89.33,3.0,25.0,0,0,43831,119.76,0,0,43831,116.95,0,0,3,35.51,0,0,3,33.68
1785521903.724,4.5,100.0,89.34,4.0,22.0,0,0,43831,119.69,0,0,43831,116.93,0,0,3,35.51,0,0,3,33.73
1785521904.724,5.2,100.0,89.35,4.0,54.0,0,0,43831,119.11,0,0,43831,116.84,0,0,3,35.37,0,0,3,33.69
1785521905.724,4.4,100.0,89.35,3.0,48.0,0,0,43831,119.40,0,0,43831,116.65,0,0,3,35.36,0,0,3,33.64
1785521906.724,5.5,100.0,89.39,4.0,48.0,0,0,43831,119.31,0,0,43831,116.50,0,0,3,35.35,0,0,3,33.69
1785521907.724,5.2,100.0,89.39,4.0,30.0,0,0,43831,119.26,0,0,43831,116.45,0,0,3,35.40,0,0,3,33.79
1785521908.724,4.6,100.0,89.38,1.0,42.0,0,0,43831,119.11,0,0,43831,116.37,0,0,3,35.41,0,0,3,33.73
1785521909.724,4.6,100.0,89.39,5.0,37.0,0,0,43831,118.93,0,0,43831,116.27,0,0,3,35.36,0,0,3,33.58
1785521910.724,4.3,100.0,89.37,4.0,37.0,0,0,43831,119.29,0,0,43831,116.14,0,0,3,35.40,0,0,3,33.58
1785521911.724,4.8,100.0,89.38,4.0,39.0,0,0,43831,118.80,0,0,43831,116.10,0,0,3,35.39,0,0,3,33.68
1785521912.724,5.8,100.0,89.37,4.0,35.0,0,0,43831,118.68,0,0,43831,116.06,0,0,3,35.35,0,0,3,33.63
1785521913.724,5.6,100.0,89.54,4.0,32.0,0,0,43831,119.07,0,0,43831,115.95,0,0,3,35.37,0,0,3,33.59
1785521914.725,4.4,100.0,89.54,3.0,34.0,0,0,43831,117.96,0,0,43831,115.85,0,0,3,35.35,0,0,3,33.68
1785521915.725,4.2,100.0,89.52,2.0,35.0,0,0,43831,116.79,0,0,43831,115.72,0,0,3,35.40,0,0,3,33.83
