ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785713228.873,2.1,100.0,24.74,20.0,0.0,0,0,0,32.09,0,0,0,30.79,0,0,0,30.47,0,0,0,30.65
1785713229.874,2.5,70.0,24.73,34.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.52,0,0,0,30.61
1785713230.874,1.9,100.0,24.74,25.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.42,0,0,0,30.72
1785713231.874,2.1,100.0,24.73,27.0,0.0,0,0,0,32.04,0,0,0,30.89,0,0,0,30.42,0,0,0,30.71
1785713232.874,3.0,100.0,24.74,34.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.65
1785713233.874,2.0,60.0,24.74,18.0,0.0,0,0,0,32.04,0,0,0,30.75,0,0,0,30.47,0,0,0,30.66
1785713234.874,2.1,100.0,24.74,21.0,0.0,0,0,0,32.04,0,0,0,30.75,0,0,0,30.47,0,0,0,30.61
1785713235.874,2.2,74.3,24.74,21.0,0.0,0,0,0,32.04,0,0,0,30.75,0,0,0,30.47,0,0,0,30.62
1785713236.874,3.2,100.0,24.76,20.0,0.0,0,0,0,32.09,0,0,0,30.80,0,0,0,30.52,0,0,0,30.71
1785713237.874,2.1,100.0,24.77,22.0,0.0,0,0,0,32.04,0,0,0,30.85,0,0,0,30.52,0,0,0,30.70
1785713238.875,3.1,100.0,24.79,26.0,0.0,0,0,0,31.99,0,0,0,30.85,0,0,0,30.47,0,0,0,30.66
1785713239.875,3.2,100.0,24.78,27.0,0.0,0,0,0,32.09,0,0,0,30.80,0,0,0,30.52,0,0,0,30.67
1785713240.875,2.3,100.0,24.78,24.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.52,0,0,0,30.66
1785713241.875,2.4,69.7,24.79,18.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.47,0,0,0,30.65
